"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 02:41:52 UTC 2024","Thu Mar 14 02:42:13 UTC 2024","20242","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Thu Mar 14 02:29:09 UTC 2024","Thu Mar 14 02:29:09 UTC 2024","539","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Mar 14 04:09:04 UTC 2024","Thu Mar 14 04:09:05 UTC 2024","972","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Thu Mar 14 03:16:51 UTC 2024","Thu Mar 14 03:16:53 UTC 2024","1764","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Mar 14 02:42:16 UTC 2024","Thu Mar 14 02:42:16 UTC 2024","393","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Mar 14 02:41:51 UTC 2024","Thu Mar 14 02:41:52 UTC 2024","1650","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Mar 14 02:19:26 UTC 2024","Thu Mar 14 02:19:46 UTC 2024","20497","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Mar 14 03:22:32 UTC 2024","Thu Mar 14 03:22:34 UTC 2024","2902","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Mar 14 02:44:20 UTC 2024","Thu Mar 14 02:44:30 UTC 2024","10346","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Thu Mar 14 04:22:04 UTC 2024","Thu Mar 14 04:22:30 UTC 2024","26069","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Thu Mar 14 02:33:02 UTC 2024","Thu Mar 14 02:33:15 UTC 2024","12908","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Mar 14 04:21:59 UTC 2024","Thu Mar 14 04:21:59 UTC 2024","17","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Thu Mar 14 02:27:34 UTC 2024","Thu Mar 14 02:27:42 UTC 2024","7959","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Thu Mar 14 02:41:35 UTC 2024","Thu Mar 14 02:41:39 UTC 2024","3614","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Mar 14 03:14:50 UTC 2024","Thu Mar 14 03:15:08 UTC 2024","18511","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Thu Mar 14 02:20:11 UTC 2024","Thu Mar 14 02:20:11 UTC 2024","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Thu Mar 14 02:44:30 UTC 2024","Thu Mar 14 02:44:33 UTC 2024","3019","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Thu Mar 14 02:21:33 UTC 2024","Thu Mar 14 02:21:57 UTC 2024","24293","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Thu Mar 14 04:22:30 UTC 2024","Thu Mar 14 04:22:33 UTC 2024","3446","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Thu Mar 14 02:41:24 UTC 2024","Thu Mar 14 02:41:35 UTC 2024","11341","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Mar 14 02:23:23 UTC 2024","Thu Mar 14 02:23:28 UTC 2024","4877","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Thu Mar 14 04:52:11 UTC 2024","Thu Mar 14 04:52:36 UTC 2024","25367","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Thu Mar 14 03:16:58 UTC 2024","Thu Mar 14 03:16:59 UTC 2024","1481","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Thu Mar 14 02:27:03 UTC 2024","Thu Mar 14 02:27:08 UTC 2024","5433","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Mar 14 03:22:57 UTC 2024","Thu Mar 14 03:22:59 UTC 2024","1634","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Mar 14 02:44:58 UTC 2024","Thu Mar 14 02:44:58 UTC 2024","352","","6. Company Account","","","","9. Review Final Review",""
"passed","Thu Mar 14 03:16:53 UTC 2024","Thu Mar 14 03:16:58 UTC 2024","4798","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
